0.00144458,0,0,0,0,0,0,0,0,0,0,-9.89995e-08,1.2588e-11,1,0.000287979
0.0208497,0,0,0,0,0,0,0,0,0,0,-9.89995e-08,1.2588e-11,1,0.000287979
0.0389607,0,0,0,0,0,0,0,0,0,0,-9.89995e-08,1.2588e-11,1,0.000287979
0.0591207,0,0,0,0,0,0,0,0,0,0,-9.89995e-08,1.2588e-11,1,0.000287979
0.0802917,-0.499998,1.49999,1.2,-0.5,1.50012,1.37,6.12323e-17,2.32695e-22,1,-3.80019e-06,-2.28676e-08,-4.74498e-12,1,-0.000108551
0.100185,-0.499998,1.49999,1.2,3.93222e-08,-8.98768e-05,-0.635355,6.12323e-17,2.32695e-22,1,-3.80019e-06,-0.000129366,-6.85554e-05,-0.475961,0.879467
0.121855,-0.499988,1.49996,1.19999,-0.0157924,0.218726,0.229665,6.12323e-17,1.12031e-21,1,-1.8296e-05,-0.0102021,-0.0787812,0.607582,0.790274
0.137865,-0.499988,1.49996,1.19999,-0.00952769,0.571414,-0.18809,6.12323e-17,1.12031e-21,1,-1.8296e-05,-0.300939,0.307024,-0.375056,0.821283
0.1575,-0.499988,1.49996,1.19999,-0.0500662,0.340256,0.278518,6.12323e-17,1.12031e-21,1,-1.8296e-05,-0.456981,0.145427,0.569011,0.668017
0.177819,-0.499955,1.49986,1.19997,-0.375294,0.548994,-0.0396387,6.12323e-17,4.2587e-21,1,-6.95498e-05,-0.252224,-0.204322,-0.305016,0.895322
0.198225,-0.499955,1.49986,1.19997,-0.184253,0.382264,0.361691,6.12323e-17,4.2587e-21,1,-6.95498e-05,-0.019529,-0.111322,0.578622,0.807727
0.219909,-0.499955,1.49986,1.19997,-0.0745856,0.726141,0.0373518,6.12323e-17,4.2587e-21,1,-6.95498e-05,-0.362616,0.250532,-0.245909,0.863292
0.240115,-0.49988,1.49962,1.19992,-0.111424,0.481684,0.433109,6.12323e-17,1.1347e-20,1,-0.000185311,-0.4491,0.113632,0.589684,0.661566
0.260146,-0.49988,1.49962,1.19992,-0.395206,0.691437,0.120896,6.12323e-17,1.1347e-20,1,-0.000185311,-0.274051,-0.108457,-0.19201,0.93609
0.281031,-0.499802,1.49938,1.19987,-0.210357,0.513641,0.509775,6.12323e-17,1.8512e-20,1,-0.000302324,-0.11712,-0.072673,0.618097,0.773924
